CODLDR______	CODMAT______	LUNG	HALT	SPESS	MMQ____
"LR-00469"	"materialeB0"	47	2180	15	0
"LR-00470"	"materialeB0"	122	2180	15	26
"LR-00471"	"materialeB0"	48	2180	15	5
"LR-00472"	"materialeB0"	394	2180	15	0
"LR-00473"	"materialeB0"	371	2180	15	-39
"LR-00474"	"materialeB0"	235	2180	15	0
"LR-00475"	"materialeB0"	48	2180	15	39
"LR-00476"	"materialeB0"	64	2180	15	0
"LR-00477"	"materialeB0"	282	2180	15	0
"LR-00478"	"materialeB0"	351	2180	15	0
"LR-00479"	"materialeB0"	57	2180	15	14
"LR-00480"	"materialeB0"	58	2180	15	0
"LR-00481"	"materialeB0"	149	2180	15	0
"LR-00482"	"materialeB0"	346	2180	15	0
"LR-00483"	"materialeB0"	58	2180	15	-42
"LR-00484"	"materialeB0"	252	2180	15	0
"LR-00485"	"materialeB0"	52	2180	15	0
"LR-00486"	"materialeB0"	236	2180	15	0
"LR-00487"	"materialeB0"	38	2180	15	36
"LR-00488"	"materialeB0"	98	2180	15	0
"LR-00489"	"materialeB0"	250	2180	15	0
"LR-00490"	"materialeB0"	111	2180	15	0
"LR-00491"	"materialeB0"	325	2180	15	0
"LR-00492"	"materialeB0"	240	2180	15	0
"LR-00493"	"materialeB0"	397	2180	15	0
"LR-00494"	"materialeB0"	96	2180	15	0
"LR-00495"	"materialeB0"	303	2180	15	0
"LR-00496"	"materialeB0"	371	1730	15	-39
"LR-00497"	"materialeB0"	371	370	15	-39
"LR-00498"	"materialeB0"	225	370	15	0
"LR-00499"	"materialeB0"	225	1730	15	0
"LR-00500"	"materialeB0"	354	2180	15	39
"LR-00501"	"materialeB0"	165	2180	15	0
"LR-00502"	"materialeB0"	343	2180	15	0
"LR-00503"	"materialeB0"	77	2180	15	0
"LR-00504"	"materialeB0"	133	2180	15	0
"LR-00505"	"materialeB0"	165	2180	15	39
"LR-00506"	"materialeB0"	354	2180	15	0
"LR-00507"	"materialeB0"	371	1730	15	0
"LR-00508"	"materialeB0"	371	370	15	0
"LR-00509"	"materialeB0"	80	2180	15	0
"LR-00510"	"materialeB0"	158	2115	15	0
"LR-00511"	"materialeB0"	51	2115	15	0
"LR-00512"	"materialeB0"	496	2115	15	0
"LR-00513"	"materialeB0"	303	2115	15	0
"LR-00514"	"materialeB0"	586	2115	15	0
"LR-00515"	"materialeB0"	371	305	15	-39
"LR-00516"	"materialeB0"	225	305	15	0
"LR-00517"	"materialeB0"	596	2115	15	0
"LR-00518"	"materialeB0"	354	2115	15	39
"LR-00519"	"materialeB0"	165	2115	15	0
"LR-00520"	"materialeB0"	343	2115	15	0
"LR-00521"	"materialeB0"	396	2115	15	0
"LR-00522"	"materialeB0"	168	2115	15	0
"LR-00523"	"materialeB0"	296	2115	15	0
"LR-00524"	"materialeB0"	77	2115	15	0
"LR-00525"	"materialeB0"	373	2115	15	0
"LR-00526"	"materialeB0"	443	2115	15	0
"LR-00527"	"materialeB0"	133	2115	15	0
"LR-00528"	"materialeB0"	354	2115	15	0
"LR-00529"	"materialeB0"	165	2115	15	39
"LR-00530"	"materialeB0"	225	305	15	-39
"LR-00531"	"materialeB0"	371	305	15	0
"LR-00532"	"materialeB0"	80	2115	15	0
"LR-00533"	"materialeB0"	156	2115	15	0
"LR-00534"	"materialeB0"	166	2180	15	0
"LR-00535"	"materialeB0"	53	2180	15	-12
"LR-00536"	"materialeB0"	190	2180	15	0
"LR-00537"	"materialeB0"	90	2180	15	0
"LR-00538"	"materialeB0"	47	2180	15	0
"LR-00539"	"materialeB0"	382	2180	15	0
"LR-00540"	"materialeB0"	78	2180	15	0
"LR-00541"	"materialeB0"	596	420	15	0
"LR-00542"	"materialeB0"	596	1230	15	0
"LR-00543"	"materialeB0"	387	2180	15	0
"LR-00544"	"materialeB0"	253	2180	15	0
"LR-00545"	"materialeB0"	58	2180	15	0
"LR-00546"	"materialeB0"	428	2180	15	-34
"LR-00547"	"materialeB0"	58	2180	15	-34
"LR-00548"	"materialeB0"	428	2180	15	0
"LR-00549"	"materialeB0"	533	2180	15	0
"LR-00550"	"materialeB0"	199	2180	15	0
"LR-00551"	"materialeB0"	166	2180	15	-12
"LR-00552"	"materialeB0"	53	2180	15	0
